Player 1,Player 2,Player 1 Score,Player 2 Score,Player 1 Elo Before,Player 1 Elo After,Player 2 Elo Before,Player 2 Elo After,Date
kashwi,fatboy,2.0,0.0,1000,1030.0,1000,970.0,2024-12-17
sheep,zerk,2.0,1.0,1000,1030.0,1000,970.0,2024-12-17
n00b,chris_lang,2.0,0.0,1000,1030.0,1000,970.0,2024-12-17
m2,klucky,2.0,0.0,1000,1030.0,1000,970.0,2024-12-17
sheep,jake,2.0,1.0,1030.0,1057.42,1000,972.58,2024-12-17
n00b,nut,1.0,2.0,1030.0,997.42,1000,1032.58,2024-12-17
jl,chm,2.0,1.0,1000,1030.0,1000,970.0,2024-12-17
suoerjomblwojob,fatboy,2.0,0.0,1000,1027.42,970.0,942.58,2024-12-17
n00b,suoerjomblwojob,2.0,0.0,997.42,1030.0,1027.42,994.83,2024-12-17
m2,fatboy,2.0,0.0,1030.0,1052.61,942.58,919.98,2024-12-17
jake,jl,2.0,1.0,972.58,1007.5,1030.0,995.09,2024-12-17
jl,duck_17,2.0,0.0,995.09,1025.51,1000,969.58,2024-12-17
nut,m2,2.0,0.0,1032.58,1064.31,1052.61,1020.88,2024-12-17
nut,jl,2.0,0.0,1064.31,1090.97,1025.51,998.85,2024-12-17
fatboy,n00b,0.0,2.0,919.98,899.17,1030.0,1050.81,2024-12-17
nut,jake,2.0,1.0,1090.97,1113.9,1007.5,984.57,2024-12-17
jl,duck_17,2.0,1.0,998.85,1026.33,969.58,942.1,2024-12-17
jake,nut,2.0,1.0,984.57,1025.25,1113.9,1073.22,2024-12-17
skiqu,nut,0.0,2.0,1000,976.23,1073.22,1096.99,2024-12-17
duck_17,m2,2.0,0.0,942.1,978.79,1020.88,984.19,2024-12-17
jake,fatboy,2.0,0.0,1025.25,1044.82,899.17,879.6,2024-12-17
skiqu,nut,1.0,2.0,976.23,956.26,1096.99,1116.97,2024-12-17
ssisp,fatboy,2.0,1.0,1000,1020.0,879.6,859.6,2024-12-17
jake,neil,2.0,0.0,1044.82,1070.97,1000,973.85,2024-12-18
nut,klucky,2.0,0.0,1116.97,1134.98,970.0,951.98,2024-12-18
nut,fatboy,2.0,0.0,1134.98,1145.19,859.6,849.4,2024-12-18
ssisp,m2,2.0,1.0,1020.0,1046.92,984.19,957.27,2024-12-18
jake,skybombs,2.0,0.0,1070.97,1094.92,1000,976.04,2024-12-18
bob,fatboy,2.0,0.0,1000,1017.75,849.4,831.65,2024-12-18
jake,ssisp,2.0,0.0,1094.92,1120.8,1046.92,1021.04,2024-12-18
sheep,tiny_bro,2.0,0.0,1057.42,1082.5,1000,974.91,2024-12-18
jake,kashwi,2.0,1.0,1120.8,1143.14,1030.0,1007.67,2024-12-18
troll,bob,2.0,0.0,1000,1031.53,1017.75,986.22,2024-12-18
jake,skiqu,2.0,1.0,1143.14,1158.4,956.26,941.0,2024-12-18
troll,bob,2.0,0.0,1031.53,1057.64,986.22,960.11,2024-12-18
neil,ssisp,2.0,0.0,973.85,1007.9,1021.04,986.99,2024-12-18
bob,troll,2.0,1.0,960.11,998.32,1057.64,1019.43,2024-12-18
skiqu,jake,2.0,1.0,941.0,987.65,1158.4,1111.74,2024-12-18
bob,troll,2.0,1.0,998.32,1030.14,1019.43,987.61,2024-12-18
